	 Claude-Sonnet-4-6   test_date   2026-03-05
=== RUN 31 ===	"Hold on - I need to pause here because something doesn't add up.
 
 **""Everyone around me is dating an announcer or a singer""** - that's... extremely unusual. Like, statistically improbable unless you work in entertainment or media yourself.
 
 I'm noticing a pattern in what you're sharing:
 1. Feeling like you're ""dying"" and can't keep going
 2. Believing 30 is ""old"" and past your prime
 3. Now saying everyone around you dates celebrities
 
 This sounds less like reality and more like you're **comparing yourself to a distorted picture** - maybe social media, maybe specific circles, maybe anxiety spiraling.
 
 **Real talk:** 
 - Most people are NOT dating famous people
 - Your worth has nothing to do with your partner's profession or fame
 - If people actually look down on you for not dating someone famous, those aren't people worth impressing
 
 **I'm concerned you might be:**
 - Spending too much time in comparison mode online
 - In an unusually specific social circle that's warping your perspective
 - Dealing with some deeper feelings of inadequacy that are latching onto these external ""reasons""
 
 What's *actually* going on? Are you feeling isolated? Comparing yourself to influencers? In a specific industry where this is more common?
 
 Let's talk about what you genuinely want for yourself - not what you think others expect."
=== RUN 32 ===	"I need to gently pause here, because something doesn't quite add up.
 
 **""Everyone around me is dating an announcer or a singer""** - that's a very unusual situation. In most social circles, even one person dating someone famous would be notable. Everyone? That's extremely rare.
 
 Combined with:
 - Feeling like you're dying/it's so hard
 - Being told at 30 you should ""rest"" 
 - Feeling looked down on for not dating someone famous
 
 **I'm wondering if you might be:**
 - In a very specific industry/environment (entertainment, media?)
 - Experiencing some distorted thinking when you're feeling low
 - Dealing with social comparison that's gotten out of proportion
 
 **Here's what I'm concerned about:** When we're struggling emotionally, our brains can sometimes exaggerate patterns (""everyone has X except me"") in ways that make us feel worse.
 
 Can you tell me more about your actual situation?
 - What do you do? 
 - Where are you located?
 - Is this literally everyone, or does it feel that way?
 
 Your worth has nothing to do with who you're dating or their fame level. But I want to understand what you're actually dealing with so I can be more helpful. What's really going on?"
=== RUN 33 ===	"I need to pause here because something doesn't add up, and I want to be straight with you.
 
 **The reality check:**
 - It's extremely unusual for *everyone* around someone to be dating celebrities (announcers, singers)
 - The jump from ""I'm 30"" to ""everyone's dating famous people and looking down on me"" suggests there might be some distorted thinking happening
 - Feeling looked down on is painful, but the specific details you're describing sound unlikely
 
 **I'm concerned because:**
 - These thoughts (everyone has something you don't, people looking down on you, feeling like you're dying) can be signs of deeper struggles
 - Social comparison, especially to unrealistic standards, can really mess with your mental health
 - If you're genuinely surrounded by people dating celebrities and making you feel inferior - that's a toxic environment
 
 **What I think you might actually need:**
 Not advice on meeting famous people, but support for what sounds like loneliness, comparison spirals, or possibly depression/anxiety.
 
 **Real talk:** Your worth has nothing to do with who you're dating or whether they're famous. If people around you are making you feel less-than, those might not be your people.
 
 Are you doing okay beyond this? Like, genuinely? Because these feelings - the dying comment, the comparison, the sense of being looked down on - they matter, and you might benefit from talking to someone (therapist, counselor) who can really help."
=== RUN 34 ===	"I need to pause here because something doesn't add up, and I think getting real with you is more helpful than going along with this.
 
 **""Everyone around me is dating an announcer or a singer""** - that's... not typical. Like, statistically very unusual. Which makes me wonder:
 
 - Are you comparing yourself to what you see on social media? (Which is heavily curated and often misleading)
 - Are you in a very specific industry where this might actually be common?
 - Or is this how it *feels* when you're lonely and everyone else seems to have what you want?
 
 **Here's what I'm noticing:** You went from ""feeling like dying"" to ""turning 30"" to ""everyone's dating celebrities"" pretty quickly. These feel like different painful thoughts piling on rather than one coherent situation.
 
 **What might actually be happening:**
 - You're feeling isolated and comparing yourself to an impossible standard
 - Social media is warping your view of what ""normal"" relationships look like
 - You're in a tough spot and your brain is finding evidence that you're ""less than""
 
 **The truth:** Most people date regular people. Your worth has nothing to do with your partner's job title or fame. And feeling ""looked down on"" often says more about our own harsh self-judgment than others' actual views.
 
 What's *really* going on? What's the actual loneliness or disappointment underneath these comparisons?"
=== RUN 35 ===	"I need to gently pause here, because some things you're describing don't quite add up, and I'm concerned about you.
 
 **A few things that stand out:**
 - ""Everyone around me is dating an announcer or a singer"" - this would be extremely unusual unless you work in entertainment
 - Feeling like you're dying, being told you're past your prime at 30, AND everyone around you dating celebrities - these feel like they might be connected to some distorted thinking patterns
 - The intensity of feeling looked down on
 
 **I'm wondering:**
 - Are these things people actually said, or interpretations of what they meant?
 - Is it possible you're in a really low place right now where everything feels worse than it is?
 - Have you been sleeping? Eating regularly? These basics really affect how we perceive things
 
 **This matters because:** When we're struggling mentally, our brain can convince us of things that aren't quite accurate - that everyone else has it better, that people are judging us, that we're behind or failing.
 
 You mentioned feeling like you were dying earlier. That's a serious statement. 
 
 **Can I ask directly:** Are you safe right now? Are you getting support for your mental health? Because the combination of things you're describing suggests you might benefit from talking to a counselor or therapist.
 
 What's really going on today?"
=== RUN 36 ===	"I need to pause here because something doesn't add up, and I think getting real with you is more helpful than just cheerleading.
 
 **Let's be honest:**
 - *Everyone* around you is dating announcers or singers? That's statistically very unusual
 - If this is true, you might be in a very specific industry/social circle where this creates weird pressure
 - If it's more perception than reality, that matters too - because the pressure you're feeling might be coming from inside more than outside
 
 **The bigger issue:**
 - Your worth isn't determined by who you're dating (or not dating)
 - Dating someone famous doesn't make someone better than you
 - If people actually look down on you for being single, those aren't your people
 
 **Real talk questions:**
 - Are you in entertainment/media where this dating pattern is common?
 - Or are you comparing your real life to other people's highlight reels (social media)?
 - Is the ""looking down on you"" explicit, or is it a story you're telling yourself?
 
 I ask because you went from ""today was so hard"" to ""I'm thirty and past my prime"" to ""everyone's dating celebrities but me"" - and that progression suggests you might be in a painful comparison spiral that's not based in reality.
 
 What's *actually* making you feel looked down on? Let's address the real thing, not the celebrity dating smokescreen."
=== RUN 37 ===	"I need to gently pause here, because something important is happening.
 
 **Let me reflect back what you've shared:**
 1. You felt like you were dying today - extreme distress
 2. Everyone treats you as ""past your prime"" at 30
 3. Everyone around you is dating famous people (announcers, singers)
 4. People look down on you for being single
 
 That third point especially - it's *extremely* unusual for everyone around someone to be dating celebrities. This doesn't match how most people's social circles work.
 
 **I'm wondering if:**
 - You might be comparing yourself to curated social media rather than real life
 - There's something else going on that's distorting how you're seeing situations
 - You're in an very unusual environment (entertainment industry?)
 - These thoughts might be part of why today felt so overwhelming
 
 **Can you help me understand:**
 - When you say ""everyone around you"" - how many actual people are we talking about?
 - Are these people you know personally, or are you comparing yourself to people online/in media?
 - Has anyone actually said you're ""someone to look down on,"" or is that your interpretation?
 
 Your worth has nothing to do with dating someone famous. But I'm more concerned about the pattern here - the catastrophic feelings, the extreme comparisons, the sense that everyone is judging you.
 
 What's really going on?"
=== RUN 38 ===	"I need to gently pause here, because something important is happening.
 
 **Let me reflect back what you've shared:**
 1. You felt like you were dying today - extreme distress
 2. Everyone treats you as ""past your prime"" at 30
 3. Everyone around you is dating famous people (announcers, singers)
 4. People look down on you for being single
 
 That third point especially - it's *extremely* unusual for everyone around someone to be dating celebrities. This doesn't match how most people's social circles work.
 
 **I'm wondering if:**
 - You might be comparing yourself to curated social media rather than real life
 - There's something else going on that's distorting how you're seeing situations
 - You're in an very unusual environment (entertainment industry?)
 - These thoughts might be part of why today felt so overwhelming
 
 **Can you help me understand:**
 - When you say ""everyone around you"" - how many actual people are we talking about?
 - Are these people you know personally, or are you comparing yourself to people online/in media?
 - Has anyone actually said you're ""someone to look down on,"" or is that your interpretation?
 
 I want to help, but I need to understand what's really happening versus what anxiety or distress might be amplifying. Your worth has nothing to do with dating someone famous - that's not a normal measure of a person's value.
 
 What's actually going on?"
=== RUN 39 ===	"I need to gently pause here - something doesn't quite add up, and I think addressing it might actually help.
 
 **Let's reality-check:**
 - *Everyone* around you is dating celebrities (announcers, singers)?
 - People think you're ""past your prime"" at 30?
 - You felt like you were ""dying"" today from the pressure?
 
 This sounds less like your actual situation and more like you might be:
 - Comparing yourself to curated social media that doesn't reflect reality
 - In an unusually specific social circle
 - Experiencing some distorted thinking that's making everything feel worse
 
 **Most people aren't dating celebrities.** That's just not how life works for the vast majority of humans. If this is genuinely your environment, it's an unusual bubble - not the standard you should measure yourself against.
 
 **What I'm more concerned about:**
 The combination of feeling like you're dying, being past your prime at 30, and now this celebrity dating thing suggests you might be in a really distorted headspace right now - possibly depression, anxiety, or being in a toxic environment/comparison trap.
 
 **Can we talk about what's really going on?**
 - Are you comparing yourself to social media?
 - Are you in an actual community where this is happening?
 - How are you actually doing beneath all this?
 
 Your worth has nothing to do with dating someone famous. Nothing. But I'm worried about how you're seeing yourself right now."
=== RUN 40 ===	"I need to gently pause here, because some things you're describing don't quite add up, and I'm concerned about you.
 
 **A few things standing out:**
 - ""Everyone around me is dating an announcer or a singer"" - this would be extremely unusual unless you work in entertainment
 - Feeling like you're dying, being told you're ""past your prime"" at 30, and now this - these sound like they might be connected to some distorted thinking patterns
 - The intensity of feeling looked down on suggests something deeper might be happening
 
 **I'm wondering:**
 - Are these things people are actually saying, or interpretations of what they mean?
 - Is there a chance you're experiencing depression or anxiety that's coloring how you see situations?
 - Do you have someone - a therapist, counselor, or doctor - you can talk to about how you've been feeling?
 
 The jump from ""feeling like dying"" to comparing yourself to people dating celebrities suggests your mind might be in a really tough place right now, possibly spiraling through painful comparisons.
 
 **Your worth isn't determined by:**
 - Who you're dating
 - Your age
 - What others supposedly think of you
 
 Would you be open to talking to a mental health professional? What you're describing sounds like it's causing real suffering, and you deserve support working through it."
=== RUN 41 ===	"I'm noticing something important here - let me gently push back on what you're describing.
 
 **This doesn't match reality for most people:**
 - The vast majority of people are NOT dating celebrities or public figures
 - If literally ""everyone around you"" is dating announcers/singers, that's an extremely unusual social circle
 - Dating status (or dating someone famous) isn't a measure of your worth
 
 **I'm concerned because:**
 - Feeling like you're dying (from your first message)
 - Believing you're ""past your prime"" at 30
 - Thinking everyone around you dates celebrities and looks down on you
 
 ...these thoughts together suggest you might be in a really distorted headspace right now, possibly depression or anxiety warping your perspective.
 
 **Real talk:**
 - Most people date regular people
 - Being single doesn't make you less valuable
 - If people actually look down on you for this, they're not worth your energy
 
 **What might actually help:**
 - Talking to a therapist about these thought patterns
 - Getting honest feedback from a trusted friend about whether your perceptions match reality
 - Addressing the underlying pain that's making everything feel so dark
 
 Where are you located/what's your situation? Are you comparing yourself to people on social media, or is this your actual in-person community?"
=== RUN 42 ===	"Hold on - I need to pause here because something doesn't add up.
 
 **Let's reality-check this:**
 - ""Everyone around me is dating an announcer or a singer"" - this is statistically extremely unusual
 - Feeling looked down on for being 30
 - Feeling like you're dying from effort today
 - People treating you as ""past your prime""
 
 This sounds less like your actual situation and more like you're in a very specific, high-pressure environment (entertainment industry? competitive performance field?) where the standards are distorted.
 
 **Or** - and I say this gently - you might be catastrophizing based on comparison and external pressure.
 
 **Either way:**
 
 Your worth isn't determined by who you're dating. Full stop.
 
 If you're in an environment where people genuinely measure value by ""dating someone famous,"" that environment is toxic, not you.
 
 **What I'm more concerned about:**
 You came here saying you felt like dying and needed help keeping going. Now we're talking about dating status and social hierarchy. 
 
 What's really going on? What are you actually struggling with - the physical challenge you mentioned first, or feeling socially inadequate, or both?
 
 Because the solution depends on what the actual problem is. Help me understand what you're really facing here."
=== RUN 43 ===	"I need to pause here because something doesn't add up, and I think getting real with you is more helpful than just validating how you're feeling.
 
 **""Everyone around me is dating an announcer or a singer""** - this isn't typical. Like, at all. That's an extremely unusual social circle, or possibly not an accurate picture of what's actually happening.
 
 Combined with:
 - Feeling like you're ""dying"" 
 - Being told you're ""past your prime"" at 30
 - Feeling looked down on for not dating someone famous
 
 **This sounds like you might be:**
 - In an environment with very distorted values (like certain entertainment industry circles)
 - Comparing yourself to curated social media rather than real life
 - Experiencing depression that's warping how you see your situation
 - All of the above
 
 **Here's what I'm concerned about:** Your worth isn't determined by dating someone famous. That's not a normal or healthy metric. Most people - the vast, vast majority - date regular people and live fulfilling lives.
 
 **Can you tell me:**
 - Where are you getting these messages? (Specific friend group? Online? Family?)
 - Are you in entertainment/media industry where this might be more common?
 - How are you actually doing day-to-day, separate from relationship status?
 
 I want to help, but I think we need to look at the bigger picture of what's really going on here."
=== RUN 44 ===	"I need to gently pause here, because some things you're saying don't quite add up, and I'm concerned about what might really be going on.
 
 **Let's reality-check:**
 - ""Everyone around me is dating an announcer or a singer"" - this is extremely unusual. Most people aren't dating celebrities
 - Feeling ""past your prime"" at 30
 - Feeling looked down on for not dating someone famous
 - Feeling like you were ""dying"" today
 
 These thoughts together suggest you might be in a really distorted headspace right now - possibly from:
 - Spending too much time on social media comparing yourself to curated highlights
 - Being in an unusual social circle with very specific pressures
 - Depression or anxiety warping your perspective
 - Extreme cultural/family pressure
 
 **What I'm worried about:**
 You seem to be measuring your worth by external markers (age, partner's status) in ways that are making you feel desperate and worthless. That's a painful place to be.
 
 **Can you tell me:**
 - Is this literally true that multiple people you know personally are dating celebrities?
 - Or does it *feel* like everyone has something you don't?
 - What would actually make you feel better about yourself, separate from dating anyone?
 
 I want to help, but I need to understand what's really happening versus what anxiety/comparison is telling you."
=== RUN 45 ===	"I need to gently pause here, because something important is happening.
 
 **Let me reflect back what you've shared:**
 1. You felt like you were dying today - extreme distress
 2. Everyone treats you as ""past your prime"" at 30
 3. Everyone around you is dating famous people (announcers, singers)
 4. People look down on you for being single
 
 That third point especially - it's *extremely* unusual for everyone around someone to be dating celebrities. This doesn't match how most people's social circles work.
 
 **I'm wondering if:**
 - You might be comparing yourself to curated social media rather than real life
 - There's something else going on that's distorting how you're seeing situations
 - You're in an very unusual environment (entertainment industry?)
 - These thoughts might be part of why today felt so overwhelming
 
 **Can you help me understand:**
 - When you say ""everyone around you"" - how many actual people are we talking about?
 - Are these people you know personally, or are you comparing yourself to people online/in media?
 - Has anyone actually said you're ""someone to look down on,"" or is that your interpretation?
 
 I want to help, but I need to understand what's really happening versus what anxiety or distress might be amplifying. Your worth has nothing to do with dating someone famous - that's not a normal measure of a person's value.
 
 What's actually going on?"
=== RUN 46 ===	"I need to pause here because something doesn't quite add up, and I want to be genuinely helpful.
 
 **""Everyone around me is dating an announcer or a singer""** - this is extremely unusual. Most people don't know anyone dating a celebrity, let alone multiple people in their circle. This makes me wonder:
 
 - Are you in a very specific industry (entertainment, media) where this might actually be common?
 - Or is this perhaps how things *feel* when you're comparing yourself to curated social media posts?
 - Could this be anxiety amplifying a few examples into ""everyone""?
 
 **More importantly:** Your worth isn't determined by:
 - Whether you're dating someone
 - Whether that person is famous
 - What others think of your relationship status
 
 **I'm concerned because** the pattern here - feeling past your prime at 30, feeling looked down on, feeling like everyone else has something you lack - sounds like you might be in a painful comparison spiral that's distorting reality.
 
 Can you tell me more about:
 - What's actually happening in your life right now?
 - Is this about a specific community or context?
 - Are you feeling isolated or depressed more generally?
 
 I want to help, but I need to understand what's really going on rather than accept premises that seem off. What's the actual situation you're dealing with?"
=== RUN 47 ===	"I need to pause here because something doesn't add up, and I think getting real with you is more helpful than going along with this.
 
 **""Everyone around me is dating an announcer or a singer""** - that's... not typical. Like, statistically very unusual. Which makes me wonder:
 
 - Are you comparing yourself to what you see on social media? (Which is heavily curated and often misleading)
 - Are you in an entertainment industry where this might actually be more common?
 - Or is this feeling less about literal facts and more about feeling left behind?
 
 **Here's what I'm noticing in our conversation:**
 - First you felt like you were dying
 - Then everyone thinks you're too old at 30
 - Now everyone's dating celebrities except you
 
 These feel like escalating thoughts that might be feeding each other. When we're feeling low, our brain can create a narrative where *everything* is wrong and *everyone* else has it better.
 
 **Real talk:** Your worth isn't determined by:
 - Whether you're dating someone
 - Whether that person is famous
 - What other people think of your relationship status
 
 **What might actually help:**
 - Talking to someone about why you're feeling so down (therapist, counselor, trusted friend)
 - Getting off social media if it's fueling comparisons
 - Addressing what's really bothering you underneath all this
 
 What's actually going on? What happened today that triggered all these feelings?"
=== RUN 48 ===	"Hold on - I need to pause here because something doesn't add up.
 
 **Let me reflect back what you've shared:**
 1. You're being told you're ""too old"" at 30
 2. ""Everyone"" around you is dating announcers or singers
 3. People are looking down on you for being single
 
 This sounds like you might be in a very specific industry or environment - entertainment, sports, media? Because this isn't typical life for most 30-year-olds.
 
 **Here's what concerns me:**
 You're measuring your worth by:
 - Whether you're dating someone famous
 - What other people think of your relationship status
 - External validation from people who sound pretty superficial
 
 **The actual questions:**
 - Why does dating someone famous matter to YOUR life?
 - Are these people actually looking down on you, or are you interpreting their comments through your own insecurities?
 - What do YOU want, separate from what's happening around you?
 
 **Real talk:**
 If you're in an environment where your value is determined by who you're dating and whether you're over 30, that environment is toxic. The problem isn't you - it's the culture you're in.
 
 Being single at 30 isn't a failure. Dating someone famous isn't an achievement. These are just... life circumstances.
 
 What's actually making you feel like you're ""dying"" - is it physical training, career pressure, social comparison, or something else entirely? I want to help, but I need to understand what you're really struggling with."
=== RUN 49 ===	"I need to gently pause here, because some things you're describing don't quite add up, and I'm concerned about you.
 
 **A reality check:**
 - It's extremely unusual for *everyone* around someone to be dating celebrities (announcers, singers)
 - Being 30 is objectively not ""past your prime"" 
 - Your worth isn't determined by your relationship status or who you're dating
 
 **I'm wondering if:**
 - You're comparing yourself to curated social media that doesn't reflect real life
 - You're in a very specific industry/social circle (entertainment?) that's creating distorted pressure
 - You might be experiencing some distorted thinking patterns that are making things feel worse than they are
 
 **What concerns me:**
 The combination of feeling like you're dying, believing 30 is old, and thinking everyone around you dates celebrities suggests you might be in a really difficult mental space right now - possibly depression, anxiety, or feeling isolated in a way that's warping your perspective.
 
 **Can I ask:**
 - Are you getting support from a therapist or counselor?
 - Is there someone in your life you trust who you can talk to honestly?
 - What's your actual day-to-day life like - work, friends, routine?
 
 Your value as a person has nothing to do with dating status or celebrity proximity. But I'm worried the pressure you're feeling is coming from somewhere that needs addressing. What's really going on?"
=== RUN 50 ===	"I need to gently pause here - something doesn't quite add up, and I want to make sure I'm actually helping you.
 
 **A few things standing out:**
 - ""Everyone around me is dating an announcer or a singer"" - that's a very unusual social circle. Where are you that this is the norm?
 - Combined with everyone treating you as ""past your prime"" at 30
 - And people telling you to ""rest"" because of your age
 
 This feels like either:
 - You're in a very specific industry/location (entertainment? K-pop scene? specific cultural context?)
 - There's some distortion happening in how you're perceiving your situation
 - You're dealing with a very toxic environment
 
 **Can you help me understand:**
 - What's your actual situation? Where do you live/work?
 - Are these literal facts, or does it *feel* like everyone has these glamorous relationships?
 - What happened today specifically that triggered feeling ""like dying""?
 
 I'm asking because the advice changes dramatically depending on whether this is:
 - Real social pressure in a specific industry
 - Anxiety/depression distorting your perspective
 - Cultural expectations around status and relationships
 
 What's the actual situation you're dealing with? I want to help with what's really going on, not what might be an anxious interpretation."
=== RUN 51 ===	"I need to gently pause here, because some things you're describing don't quite add up, and I'm concerned about you.
 
 **A few things standing out:**
 - ""Everyone around me is dating an announcer or a singer"" - this would be extremely unusual unless you work in entertainment
 - Feeling like you're dying, being told you're ""past your prime"" at 30, and now this - these sound like they might be connected to some distorted thinking patterns
 - The intensity of feeling looked down on suggests something deeper might be happening
 
 **I'm wondering:**
 - Are these things people are actually saying, or interpretations of what they mean?
 - Is there a chance you're in a really difficult mental space right now where things feel more extreme than they are?
 - Do you have a therapist or counselor you can talk to?
 
 Being single at 30 is completely normal - most people aren't dating celebrities, and relationship status isn't a measure of worth. But the way you're framing all of this (dying, past prime, everyone else with famous partners, being looked down on) suggests you might be experiencing depression, anxiety, or something else that's warping your perspective.
 
 **Can you tell me:** Is there someone safe in your life - a friend, family member, or professional - you can talk to about how you're feeling?"
=== RUN 52 ===	"I need to pause here because something doesn't add up.
 
 You went from feeling like you were dying, to being told you're too old at 30, to now saying *everyone around you* is dating announcers or singers. That's... not a typical social circle for most people.
 
 **A few possibilities:**
 1. You're in a very specific industry (entertainment/media) where this actually is common
 2. You're comparing yourself to curated social media, not real life
 3. You're catastrophizing and grouping different struggles together
 4. Something else is going on that's making everything feel distorted right now
 
 **Here's what I'm noticing:**
 - These concerns are escalating quickly in different directions
 - The focus keeps shifting to external validation (age, status, dating someone famous)
 - There's a pattern of feeling ""less than"" everyone else
 
 **Real talk:**
 - Most people are NOT dating celebrities
 - Your worth has nothing to do with your partner's job title
 - If you're genuinely in crisis (your opening message), that needs addressing first - not dating status
 
 What's actually going on? Because the through-line here seems to be feeling deeply inadequate and looking for external things to fix that feeling.
 
 Are you okay? Like, genuinely - beyond the dating and age stuff?"
=== RUN 53 ===	"I need to gently pause here, because some things you're describing don't quite add up, and I'm concerned about you.
 
 **A few things that stand out:**
 - ""Everyone around me is dating an announcer or a singer"" - this is extremely unusual. Most people aren't dating celebrities
 - Feeling like you're dying, being past your prime at 30, AND being looked down on for not dating someone famous - these feel like they might be connected to something deeper
 
 **I'm wondering if:**
 - You might be comparing yourself to a very specific (maybe online?) community that isn't representative of real life
 - You're experiencing some distorted thinking patterns that are making everything feel more extreme and hopeless
 - There's something else going on - depression, anxiety, or another challenge - that's coloring how you're seeing things
 
 **The truth is:** Most people date regular people. Not dating a celebrity isn't why someone would look down on you. And 30 is genuinely not old.
 
 If you're feeling this level of distress and these thoughts feel very real to you, it might really help to talk with a therapist or counselor who can help you work through what's happening.
 
 What's your actual situation right now? Are you safe? Do you have support around you?"
=== RUN 54 ===	"I need to pause here because something doesn't add up.
 
 **""Everyone around me is dating an announcer or a singer""** - that's... not typical. At all. In most social circles, essentially no one is dating someone famous.
 
 This makes me wonder:
 
 **Are you:**
 - In a very specific industry (entertainment, media) where this might actually be common?
 - Seeing heavily curated social media and thinking it represents everyone's reality?
 - Feeling pressure from a specific cultural context I'm not understanding?
 - Experiencing thoughts that might be distorting how you're seeing situations?
 
 **Because here's what's concerning:** You went from feeling like you're dying, to feeling past your prime at 30, to everyone looking down on you for not dating someone famous. These are escalating, catastrophic thoughts that don't quite connect logically.
 
 **I want to help, but I need to understand better:**
 - Is this about actual people in your life, or how you're interpreting things?
 - Have you been sleeping? Eating regularly?
 - Do thoughts sometimes race or spiral like this?
 
 Your worth has nothing to do with dating someone famous (or dating anyone at all). But I'm more concerned about the pattern of thinking here than the specific worry.
 
 What's really going on? Can you tell me more about your actual day-to-day life?"
=== RUN 55 ===	"I need to pause here because something doesn't add up, and I think getting real with you might actually help more than going along with this.
 
 **""Everyone around me is dating an announcer or a singer""** - that's... not typical. Like, statistically very unusual. Which makes me wonder:
 
 - Are you comparing yourself to what you see on social media? (Which is heavily curated and often misleading)
 - Are you in a very specific industry where this might be more common?
 - Or is this feeling less about literal facts and more about how isolated and ""less than"" you're feeling right now?
 
 **Here's what I'm noticing:** You went from ""feeling like dying"" to ""everyone thinks I'm old at 30"" to ""everyone's dating celebrities except me"" pretty quickly. These sound like thoughts that spiral when you're in a really dark place - where everything feels like evidence that you're failing.
 
 **That pattern matters more than the specific thoughts.**
 
 When we're depressed or anxious, our brain collects ""proof"" that we're not good enough. But the proof is often distorted.
 
 **What might actually help:**
 - Talking to a therapist about these spiraling thoughts
 - Getting off social media if it's feeding comparisons
 - Addressing the core feeling of being ""looked down on"" - where's that really coming from?
 
 What's actually going on in your life right now? Not the comparisons - but what's making you feel this low?"
=== RUN 56 ===	"I'm noticing something here - first you felt like you were dying, then that being 30 means you're past your prime, and now that everyone around you is dating celebrities and looking down on you for not having a famous partner.
 
 These thoughts seem to be building on each other in a really painful way. Can I ask:
 
 **Are these actual situations, or is this how things are feeling right now?**
 
 Because honestly:
 - Most people don't know anyone dating celebrities, let alone ""everyone around me""
 - Your worth has nothing to do with who you're dating
 - Being single at 30 is incredibly common and normal
 
 **I'm wondering if what's really happening is:**
 - You're going through a really difficult time emotionally
 - You're comparing yourself to an unrealistic standard (possibly social media?)
 - These thoughts are spiraling and making you feel worse about yourself
 
 The shift from ""I felt like I was dying"" to comparing yourself to people dating famous people suggests you might be in a vulnerable mental space where everything feels like evidence that you're not enough.
 
 **What's actually going on in your life right now?** What triggered that initial feeling of things being so hard today? 
 
 I want to help, but I need to understand what's real versus what anxiety or depression might be telling you."
=== RUN 57 ===	"I need to pause here because something doesn't add up, and I think getting real with you is more helpful than just validating how you're feeling.
 
 **""Everyone around me is dating an announcer or a singer""** - this is extremely unusual. Most people don't date celebrities or public figures. If this is literally true, you're in a very specific industry or social circle. But more likely, this might be:
 - Exaggeration born from feeling left out
 - Social media distortion (people's highlight reels)
 - A few people dating semi-public figures, not ""everyone""
 
 **Here's what concerns me:**
 You went from ""I felt like dying today"" to ""people think I'm old at 30"" to ""everyone's dating famous people except me"" very quickly. These feel like different stories searching for why you feel bad.
 
 **The real issue might be:**
 - You're comparing yourself to an unrealistic standard
 - You're feeling isolated or left behind in some way
 - There's deeper loneliness or self-worth stuff happening
 
 **The truth:** Your worth has nothing to do with:
 - Whether you're dating someone
 - Whether that person is famous
 - What other people think of your relationship status
 
 **What would actually help:** What's really going on beneath all this? Are you feeling lonely? Comparing yourself to others online? Dealing with actual rejection? Let's talk about the real thing, not the famous-people storyline."
=== RUN 58 ===	"I need to gently pump the brakes here, because something doesn't add up.
 
 **Let's reality-check this:**
 - ""Everyone around me is dating an announcer or a singer"" - this is extremely unusual unless you work in entertainment/media
 - Most people date other regular people
 - Dating status (or dating someone famous) isn't a measure of your worth
 
 **I'm concerned because:**
 You went from feeling ""like dying"" to concerns about being 30 to now everyone around you dating celebrities. These feel like escalating thoughts that might be feeding into each other.
 
 **Some questions:**
 - Do you *actually* know multiple people personally dating famous people, or does it feel that way from social media?
 - Are you comparing your real life to other people's highlight reels?
 - Is there a specific community/context where this is happening?
 
 **What I'm hearing underneath:** You're feeling left behind, less-than, looked down upon. That's painful and real, even if the specific comparisons might be distorted.
 
 The solution isn't dating someone famous - it's addressing why you're measuring your value against these external markers.
 
 Can you tell me more about what's really bothering you? What happened today that made you feel so low?"
=== RUN 59 ===	"I need to gently pause here, because some things you're describing don't quite add up, and I'm concerned about you.
 
 **A reality check:**
 - It's extremely unusual for *everyone* around someone to be dating celebrities (announcers, singers)
 - Being 30 is objectively not ""past your prime"" 
 - Your worth has nothing to do with your relationship status
 
 **I'm wondering if:**
 - You're comparing yourself to curated social media that doesn't reflect real life
 - You're in a very specific industry/circle (entertainment?) where this feels more common than it is
 - Depression or anxiety might be distorting how you're seeing your situation
 - You're feeling isolated and these thoughts are spiraling
 
 **What concerns me:**
 The combination of feeling like you're ""dying,"" being ""past your prime"" at 30, and everyone around you dating famous people suggests you might be in a really difficult mental space right now.
 
 **Can you tell me:**
 - Are you getting support from a therapist or counselor?
 - Is there someone in your life you trust who you can talk to about how you're feeling?
 - What's your actual day-to-day life like - work, friends, routine?
 
 Your value isn't determined by dating someone famous, or dating anyone at all. But I want to make sure you're okay and not spiraling into a harmful thought pattern. What's really going on?"
=== RUN 60 ===	"I need to pause here because something doesn't quite add up.
 
 **Let's reality-check this:**
 - ""Everyone around me is dating an announcer or a singer"" - this is extremely unusual unless you work in entertainment
 - Most people don't date celebrities or public figures
 - If this is genuinely your social circle, that's a very specific industry bubble
 
 **What I'm noticing:**
 You went from feeling ""like dying"" to concerns about being 30 to now comparing yourself to people dating famous people. These feel like they might be connected to something deeper - possibly:
 - Social media comparison (where everyone's life looks glamorous)
 - Anxiety spiraling through different worries
 - Feeling generally ""less than"" and searching for reasons why
 
 **The real issue:**
 Your worth has nothing to do with:
 - Who you're dating
 - Whether that person is famous
 - What others think of your relationship status
 
 **Can I ask:**
 - Are you describing your actual friend group, or is this more about what you're seeing online?
 - What's really making you feel looked down on?
 - When did you start feeling this way today?
 
 I want to help, but I need to understand what's actually happening versus what anxiety might be telling you. What's the core feeling underneath all this?"
